teamNumber,projectTitle,weekNumber,score,writtenFeedback
1,Traffic Light System,1,1,bad
1,Traffic Light System,2,1,bad
1,Traffic Light System,3,0,23
1,Traffic Light System,4,1,2
,,,,,,,
studentSPR,surname,forename,email,weekNumber,score,contribution,writtenFeedback
zczlwh1@ucl.ac.uk,WILSON,John,zczlwh1@ucl.ac.uk,1,1,34,1
zczlwh1@ucl.ac.uk,WILSON,John,zczlwh1@ucl.ac.uk,2,1,34,1
zczlwh1@ucl.ac.uk,WILSON,John,zczlwh1@ucl.ac.uk,3,0,30,3
zczlwh1@ucl.ac.uk,WILSON,John,zczlwh1@ucl.ac.uk,4,1,25,2
zczlwh2@ucl.ac.uk,BROWN,Tim,zczlwh2@ucl.ac.uk,1,2,33,23
zczlwh2@ucl.ac.uk,BROWN,Tim,zczlwh2@ucl.ac.uk,2,0,33,2
zczlwh2@ucl.ac.uk,BROWN,Tim,zczlwh2@ucl.ac.uk,3,1,32,2
zczlwh2@ucl.ac.uk,BROWN,Tim,zczlwh2@ucl.ac.uk,4,2,35,2
zczlwh3@ucl.ac.uk,Hu,Weicong,zczlwh3@ucl.ac.uk,1,4,33,3
zczlwh3@ucl.ac.uk,Hu,Weicong,zczlwh3@ucl.ac.uk,2,0,33,3
zczlwh3@ucl.ac.uk,Hu,Weicong,zczlwh3@ucl.ac.uk,3,5,38,1
zczlwh3@ucl.ac.uk,Hu,Weicong,zczlwh3@ucl.ac.uk,4,4,40,2
