studentSPR,surname,forename,email,weekNumber,score,contribution,writtenFeedback
s202101,SMITH,Tom,s202101@gamil.com,1,1,25,1
s202101,SMITH,Tom,s202101@gamil.com,2,1,25,1
s202105,CAMPBELL,Paulo,ghtgj9@gamil.com,1,1,25,22
s202105,CAMPBELL,Paulo,ghtgj9@gamil.com,2,2,25,2
s202108,MACDONALD,Victoria,swvewverwtu8@gmail.com,1,2,25,33
s202108,MACDONALD,Victoria,swvewverwtu8@gmail.com,2,1,25,3
s202113,MOORE,Mina,sfgdf@gamil.com,1,1,25,4
s202113,MOORE,Mina,sfgdf@gamil.com,2,1,25,4
teamNumber,projectTitle,weekNumber,score,writtenFeedback
1,Traffic Light System,1,1,bad 3
1,Traffic Light System,2,1,absent
